Firstname,Lastname,Email,Pledge,Lifetime,Status,Country,Start
1+ Reward,"Description I will add your name to the contributors page on my website.You will also be eligible for Patreon-only rewards. I will occasionally give away books that I have read,and will choose a Patron at...",,,,,,
John,Doe,johndoe@bogusemail.com,10,20,Ok,,2017-05-0621:28:06.183108
Dave,Smith,davesmithebogusemail.com,5,10,Ok,,2017/5/29 16:13
Mary,Jacobs,maryjacobsebogusema1l.com,5,10,Ok,,2017/5/14 7:37
Jane,Stuart,jtuart@bogusemail.com,5,25,Ok,,2016-12-3018:12:13
Tom,Wright,tomwrightebogusemail.com,5,15,Ok,,2017-04-1404: 02: 06.658439
Steve,Robinson,steverobinsonebogusemail.com,5,20,Ok,,2017-03-17 02: 20: 14
Nicole,Jacobs,nicolejacobs@bogusemail.com,5,20,Ok,,2017-03-1217:07:29
Jane,Wright,janewright(bogusemail.com,5,25,,,2017/1/14 17:40
Jane,Doe,janedoe(bogusemail.com,2.5,5,Ok,,20:50.8
Kurt,Wright,kurtwrightebogusemail.com,2,2,Ok,,2017-06-23 21: 12: 15.662157
Kurt,Robinson,kurtrobinsonqbogusemail.com,4,,Ok,,2017-05-0303:18:54
nkins,janejen,kinsgbogusemail.com,2,8,Ok,,2017-03-23 16: 37: 47.708634
Neil,Robinson,neiLrobinsonabogusemail.com,1.5,3,Ok,,59:01.0
Tom,Patterson,tompatterson@bogusemail.com,1.34,4.02,Ok,,2017-04-2701:55:12.313799
Sam,Jenkins,samjenkins@bogusemail.com,1,0,Ok,,2017-07-1602:34:47.674287
Steve,Stuart,stevest@bogusemail.com,1,1,Ok,,2017-06-1203:32:00.706554
Maggie,Patterson,maggiepatterson(bogusemail.com,1,2,Ok,,2017-05-26 01: 23: 14.097393
Maggie,Stuart, maggiestuartebogusemail.com,1,2, Ok,,2017-05-19 23: 11: 08.624354
Jane,Doe,janedoeabogusemail.com,1,3,Ok,,2017-04-15 19: 40: 17.044921
Steve,Patterson,stevepatterson@bogusemail.com,1,3,Ok,,2017-04-0917:14:23.591656
Dave,Smith,davesmithebogusemail.com,1,3,Ok,,2017-04-01 18: 35: 10.731005
Sam,Wilks,samwilks@bogusema1l.com,1,4,Ok,,2017-03-0109:40:56
Kurt,Jefferson,kurtjeffersoncbogusemail.com,1,5, Ok,,2017-02-24 08: 23: 05
Sam,Stuart,samstuartebogusemail.com,1,5,Ok,,2017-02-1200: 14: 31
Jane,Stuart,janestuart@bogusemail.com,1,5,Ok,,2017-02-0614:52:28
Dave,Davis,davedavisebogusemail.com,1,0,,,2016/11/18 1:37
Sam,Patterson,sampatterson@boguecom,1,8,Ok,,2016-11-0111:27:1
Tom,Jefferson,tomjefferson@bogusemail.com,1,10,Ok,,2016-09-2709:56:4
Jane,Stuart,janestuartebogusemail.com,1,7,,,2016/8/9 14:42
Maggie,Jefferson,maggiejefferson@bogusemail.com,1,12,Ok,,2016-07-2605:02:16
Reward,Description: (None for No Reward),,,,,,
Mary,Wilks,marywilksebogusemail.com,20,60,ok,,2017-04-2102:44:43.395224
