firstname,lastname,email
John,Doe,john-doe@bogusemail.com
Mary,Smith-robinson,maryjacobsc@bogusemail.com
Dave,Smith,davesmith@bogusemail.com
Jane,Stuart,janestuart@bogusemail.com
Tom,Wright,tomwright@bogusemail.com
Steve,Robinson,steverobinson@bogusemail.com
Nicole,Jacobs,nicolejaco@bogusemail.com
Jane,Wright,janewrighta@bogusemail.com
Jane,Doe,ianedoea@bogusemail.com
Kurt,Wright,kurtwright@bogusemail.com
Kurt,Robinson,kurrobinson@bogusemail.com
Jane,Jenkins,janejenkins@bogusemail.com
Neil,Robinson,neiLrobinson@bogusemail.com
Tom,Patterson,tompattersone@bogusemail.com
Sam,Jenkins,samjenkins@bogusemail.com
Steve,Stuart,stevestuart@bogusemail.com
Maggie,Patterson,maggiepattersone@bogusemail.com
Maggie,Stuart,maggiestuarte@bogusemail.com
Jane,Doe,janedoeg@bogusemaiL.com
Steve,Patterson,stevepatterson@bogusemail.com
Dave,Smith,davesmithe@bogusemail.com
urt,Jefferson,kurtjeffs@email.com
Sam,WiLks,samwilkse@bogusemail.com
